year,Code,box,catch_tons,Name,Long Name,guild
2017,COD,56,0.005567875336655428,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,57,0.10474711235223072,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,58,0.019378549646798724,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,59,0.01574024467825728,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,60,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,61,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,62,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,63,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,64,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,65,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,66,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,67,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,68,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,69,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,70,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,71,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,72,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,73,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,74,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,75,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,76,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,77,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,78,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,79,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,80,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,81,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,82,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,83,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,84,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,85,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,86,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,87,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COD,88,0,CohoDSY_Fish,Coho Deep South Yearling,Salmon
2017,COH,0,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,1,0.23839484887982487,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,2,0.17679358071530735,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,3,0.168095010385578,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,4,0.0030628703809976038,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,5,0.21326944644860174,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,6,0.19357810515775628,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,7,0.1457989015328967,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,8,0.3734199617784936,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,9,4.412092162186312,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,10,0.3803446972523021,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,11,1.1227719230511495,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,12,0.326440218414685,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,13,0.11939857070545011,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,14,0.12686665092408783,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,15,0.026988943410482517,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,16,0.10406324873042727,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,17,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,18,0.33817420338956533,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,19,0.14097281647576135,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,20,4.871384803474504,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,21,0.0046021160138374735,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,22,0.14435326523505815,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,23,0.3991289954680008,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,24,0.2347635134581014,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,25,0.16376594246624362,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,26,26.69648612012507,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,27,1.8287890964313274,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,28,0.49850142274115805,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,29,0.049918078731141305,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,30,0.010846065487444642,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,31,0.014984761523312453,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,32,0.13115782371629067,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,33,0.009139476415423581,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,34,1.8241890187468408,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,35,5.363969566029004,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,36,2.531948142285569,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,37,12.762749220636739,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,38,2.002468086322251,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,39,4.371678727474465,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,40,0.786971429992361,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,41,1.13320096636279,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,42,0.41987267234669173,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,43,2.1907424970197553,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,44,0.03963194515718684,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,45,10.372139208534099,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,46,0.030575630486911504,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,47,0.13556595757195763,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,48,0.04491145544979886,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,49,0.006228170700333533,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,50,1.956585490062371,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,51,0.017872414828600303,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,52,0.014729826276244373,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,53,1.7015495530536418,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,54,0.09994089413753937,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,55,2.874399441031992,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,56,1.008822890104309,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,57,18.97874471390977,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,58,3.5111282632374015,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,59,2.8519171438214856,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,60,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,61,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,62,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,63,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,64,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,65,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,66,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,67,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,68,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,69,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,70,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,71,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,72,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,73,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,74,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,75,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,76,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,77,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,78,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,79,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,80,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,81,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,82,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,83,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,84,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,85,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,86,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,87,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
2017,COH,88,0,CohoHY_Fish,Coho Hatch Yearling,Salmon
